SourceSchemaName,SourceTableName,TargetSchemaName,TargetTableName
INSTITUTE,DIM_ACADEMIC_COURSE,GOLD,DIM_ACADEMIC_COURSE
INSTITUTE,DIM_ACADEMIC_TERM,GOLD,DIM_ACADEMIC_TERM
INSTITUTE,DIM_EMPLOYER,GOLD,DIM_EMPLOYER
INSTITUTE,DIM_EMPLOYMENT_FUNCTION,GOLD,DIM_EMPLOYMENT_FUNCTION
INSTITUTE,DIM_EMPLOYMENT_STATUS,GOLD,DIM_EMPLOYMENT_STATUS
INSTITUTE,DIM_ENROLLMENT_STATUS,GOLD,DIM_ENROLLMENT_STATUS
INSTITUTE,DIM_EXTERNAL_EXAM,GOLD,DIM_EXTERNAL_EXAM
INSTITUTE,FACT_ADMISSION_VIOLATIONS,GOLD,FACT_ADMISSION_VIOLATIONS
INSTITUTE,FACT_COURSE_REGISTRATION,GOLD,FACT_COURSE_REGISTRATION
INSTITUTE,FACT_EMPLOYMENT,GOLD,FACT_EMPLOYMENT
INSTITUTE,FACT_EXTERNAL_EXAM,GOLD,FACT_EXTERNAL_EXAM
INSTITUTE,FACT_STAFF_ASSIGNEMENT,GOLD,FACT_STAFF_ASSIGNEMENT
INSTITUTE,FACT_STUDENT_COMPLETION,GOLD,FACT_STUDENT_COMPLETION
INSTITUTE,FACT_STUDENT_ENROLLMENT,GOLD,FACT_STUDENT_ENROLLMENT
INSTITUTE,FACT_STUDENT_ENROLLMENT_CENSUS_DATE,GOLD,FACT_STUDENT_ENROLLMENT_CENSUS_DATE
INSTITUTE,FACT_STUDENT_ENROLLMENT_HISTORY,GOLD,FACT_STUDENT_ENROLLMENT_HISTORY
INSTITUTE,FACT_STUDENT_ENROLLMENT_WEEKLY,GOLD,FACT_STUDENT_ENROLLMENT_WEEKLY
INSTITUTE,FACT_STUDENT_GRADUATION,GOLD,FACT_STUDENT_GRADUATION
INSTITUTE,FACT_STUDENT_STIPEND,GOLD,FACT_STUDENT_STIPEND
SCHOOL,DIM_ACADEMIC_COURSE,GOLD,DIM_ACADEMIC_COURSE
SCHOOL,DIM_ACADEMIC_STREAM,GOLD,DIM_ACADEMIC_STREAM
SCHOOL,FACT_STAFF_ASSIGNEMENT,GOLD,FACT_STAFF_ASSIGNEMENT
SCHOOL,FACT_STUDENT_ENROLLMENT,GOLD,FACT_STUDENT_ENROLLMENT
SCHOOL,FACT_STUDENT_ENROLLMENT_WEEKLY,GOLD,FACT_STUDENT_ENROLLMENT_WEEKLY
SCHOOL,FACT_STUDENT_MARK,GOLD,FACT_STUDENT_MARK
